Profile,Wheel,Depth.Upper,Depth.Lower,ConeIndex,Crop,Tillage,ResidueRemoved,Plot,Field,Block,Plot_2,Side,Tx,GWC,BD,VWC,TC.perc,OM.perc
208E,Untrafficked,30,60,1.1188003,CC,CP,0,208,70,2,8,E,1,0.187377691,1.825616762,0.342079853,1.14,2.2
208W,Trafficked,0,5,0.014065875,CC,CP,0,208,70,2,8,W,1,,,,,
208W,Untrafficked,0,5,0.113479242,CC,CP,0,208,70,2,8,W,1,0.185554172,1.294983163,0.240289528,2.31,3.5
208W,Trafficked,5,15,0.265191665,CC,CP,0,208,70,2,8,W,1,,,,,
208W,Untrafficked,5,15,0.568566384,CC,CP,0,208,70,2,8,W,1,0.217864924,1.417053042,0.308726153,2.1,3.4
208W,Trafficked,15,30,1.093512327,CC,CP,0,208,70,2,8,W,1,,,,,
208W,Untrafficked,15,30,1.206600542,CC,CP,0,208,70,2,8,W,1,0.253909465,1.433849832,0.364068044,1.67,2.8
208W,Trafficked,30,60,1.472757483,CC,CP,0,208,70,2,8,W,1,,,,,
208W,Untrafficked,30,60,1.344333639,CC,CP,0,208,70,2,8,W,1,0.231661832,1.485015184,0.344021338,1.02,1.9
213E,Trafficked,0,5,0.160243708,CC,CP,35,213,70,2,13,E,3,,,,,
213E,Untrafficked,0,5,0.144203356,CC,CP,35,213,70,2,13,E,3,0.127310062,1.303001901,0.165885252,1.63,2
213E,Trafficked,5,15,1.31575614,CC,CP,35,213,70,2,13,E,3,,,,,
213E,Untrafficked,5,15,0.758599147,CC,CP,35,213,70,2,13,E,3,0.173108553,1.584608253,0.274309241,1.49,2
213E,Trafficked,15,30,1.926787769,CC,CP,35,213,70,2,13,E,3,,,,,
213E,Untrafficked,15,30,1.205135985,CC,CP,35,213,70,2,13,E,3,0.186433064,1.544652784,0.287974351,1.49,2.5
213E,Trafficked,30,60,1.541476579,CC,CP,35,213,70,2,13,E,3,,,,,
213E,Untrafficked,30,60,1.572931737,CC,CP,35,213,70,2,13,E,3,0.151785714,1.696815591,0.257552367,0.82,1.7
213W,Trafficked,0,5,0.184769946,CC,CP,35,213,70,2,13,W,3,,,,,
213W,Untrafficked,0,5,0.146288984,CC,CP,35,213,70,2,13,W,3,0.249625562,1.123578254,0.280473853,3.19,5
213W,Trafficked,5,15,0.994274412,CC,CP,35,213,70,2,13,W,3,,,,,
213W,Untrafficked,5,15,0.999504492,CC,CP,35,213,70,2,13,W,3,0.268997669,1.454838874,0.391348266,3.01,4.9
213W,Trafficked,15,30,1.653627904,CC,CP,35,213,70,2,13,W,3,,,,,
213W,Untrafficked,15,30,1.1021793,CC,CP,35,213,70,2,13,W,3,0.278274388,1.547456621,0.430617544,2.41,3.7
213W,Trafficked,30,60,1.000656847,CC,CP,35,213,70,2,13,W,3,,,,,
213W,Untrafficked,30,60,1.110307457,CC,CP,35,213,70,2,13,W,3,0.253064167,1.598045546,0.404408065,1.07,1.9
217E,Trafficked,0,5,0.212710154,AlfaCorn,NT,60,217,71,2,17,E,9,,,,,
217E,Untrafficked,0,5,0.635146184,AlfaCorn,NT,60,217,71,2,17,E,9,0.208114558,1.31419971,0.273504092,2.79,4.2
217E,Trafficked,5,15,1.416080512,AlfaCorn,NT,60,217,71,2,17,E,9,,,,,
217E,Untrafficked,5,15,1.415487185,AlfaCorn,NT,60,217,71,2,17,E,9,0.227004984,1.51972605,0.344985388,2.37,3.5
217E,Trafficked,15,30,2.05252908,AlfaCorn,NT,60,217,71,2,17,E,9,,,,,
217E,Untrafficked,15,30,1.587137833,AlfaCorn,NT,60,217,71,2,17,E,9,0.266635644,1.34826312,0.359495006,2.52,3.8
217E,Trafficked,30,60,1.348428586,AlfaCorn,NT,60,217,71,2,17,E,9,,,,,
217E,Untrafficked,30,60,1.669913993,AlfaCorn,NT,60,217,71,2,17,E,9,0.254971277,1.210960121,0.308760048,1.34,2.2
217W,Trafficked,0,5,0.508183192,AlfaCorn,NT,60,217,71,2,17,W,9,,,,,
217W,Untrafficked,0,5,0.533578818,AlfaCorn,NT,60,217,71,2,17,W,9,0.261031366,1.198998336,0.312976174,3.27,5.1
217W,Trafficked,5,15,1.616793739,AlfaCorn,NT,60,217,71,2,17,W,9,,,,,
217W,Untrafficked,5,15,1.30857579,AlfaCorn,NT,60,217,71,2,17,W,9,0.254911591,1.374488173,0.350372968,2.79,4
217W,Trafficked,15,30,2.16989871,AlfaCorn,NT,60,217,71,2,17,W,9,,,,,
217W,Untrafficked,15,30,1.908342264,AlfaCorn,NT,60,217,71,2,17,W,9,0.273019272,1.340967983,0.366110102,3.29,4.8
217W,Trafficked,30,60,1.539324472,AlfaCorn,NT,60,217,71,2,17,W,9,,,,,
